Platform,Count,Mean,Median,Std Dev,Min,Max,Skewness,Kurtosis
Apple TV+,11394,12.546,12.99,15.731,2.5,169.0,9.3223,89.7815
Netflix,19116,13.754,8.99,34.778,3.99,369.0,8.514,75.856
Spotify,12529,12.709,9.49,7.663,0.81,33.99,0.6749,-0.5971
