service,region,plan_info
Spotify,Lebanon,"US$0 for 1 month, then US$2.99 per month after. Offer reserved for students enrolled in an eligible accredited institution of higher education. Not av"
Spotify,Lebanon,Premium Duo US$7.49 / month
Spotify,Lebanon,Premium Family US$9.49 / month
Spotify,Lebanon,"Questions? We’ve got answers. Find more answers on our Support site. How does the Spotify Premium trial work? If you’ve never had Premium before, you "
Apple TV+,Lebanon,"Apple TV and Peacock Save over 30% Get exclusive Apple Originals, Peacock’s live sports and must-see TV, and more for just
									$14"
Apple TV+,Lebanon,"2 Try 3 months free 2 New Subscriber 1 week free Get Apple TV for just
									$12"
Apple TV+,Lebanon,"2 (2) A monthly subscription is just
										$12"
Apple TV+,Lebanon,"Apple One plans start at
										$19"
Apple TV+,Lebanon,Learn more Apple Footer * (none) Plans start at $14
Apple TV+,Lebanon,$12
Apple TV+,Lebanon,Plan automatically renews at $5
