country_code,hourly_wage_usd,country_name
THA,3.53,Thailand
TJK,0.64,Tajikistan
TKM,3.3,Turkmenistan
TLA,5.04,Timor-Leste
TLS,0.64,Timor-Leste
TMN,1.43,Turkmenistan
TON,2.72,Tonga
TSA,1.29,Tonga
TSS,0.74,Tonga
TTO,9.01,Trinidad and Tobago
TUN,2.01,Tunisia
TUR,7.64,Turkey
TUV,3.05,Tuvalu
TZA,0.57,Tanzania
UGA,0.52,Uganda
UKR,2.59,Ukraine
UMC,5.29,Upper middle income
URY,11.49,Uruguay
USA,40.64,United States
UZB,1.52,Uzbekistan
VCT,5.53,Saint Vincent and the Grenadines
VEN,2.03,Venezuela
VIR,21.31,United States Virgin Islands
VNM,2.27,Vietnam
VUT,1.64,Vanuatu
WLD,6.55,World
WSM,2.59,Samoa
XKX,3.38,Kosovo
YEM,0.3,Yemen
ZAF,3.01,South Africa
ZMB,0.57,Zambia
ZWE,1.2,Zimbabwe
