Actual,Predicted
19.99,19.879
7.99,7.99
11.48,11.48
9.99,9.99
12.99,12.99
6.99,6.99
12.99,12.99
4.49,4.49
6.99,6.99
5.79,5.79
18.38,18.38
6.99,6.99
6.99,6.99
9.99,9.99
30.5,30.5
11.48,11.48
24.13,24.13
24.13,24.13
12.99,12.99
19.44,19.44
17.99,17.99
14.99,14.99
14.99,14.99
4.49,4.49
7.99,7.99
12.99,12.99
3.99,3.99
24.13,24.13
12.99,12.99
5.79,5.79
9.76,9.76
7.99,7.99
6.99,6.99
9.99,9.99
22.98,22.98
3.99,3.99
12.99,12.99
9.99,9.99
30.5,30.5
33.99,33.819
7.99,7.99
7.99,7.99
12.99,12.99
11.48,11.48
4.2,4.2
2.5,2.5
6.99,6.99
4.49,4.49
7.99,7.99
9.99,9.99
12.99,12.99
6.99,6.99
12.99,12.99
7.99,7.99
10.59,10.59
11.48,11.48
3.99,3.99
9.99,9.99
12.99,12.99
12.99,12.99
12.99,12.99
17.89,17.89
6.99,6.99
7.99,7.99
9.99,9.99
9.99,9.99
11.99,11.99
18.79,18.79
4.49,4.49
12.99,12.99
11.48,11.48
17.99,17.99
4.99,4.99
5.99,5.99
3.99,3.99
12.99,12.99
7.46,7.46
20.68,20.68
11.48,11.48
5.79,5.79
7.99,7.99
12.99,12.99
16.41,16.41
11.99,11.99
8.99,8.99
9.49,9.49
9.49,9.49
12.99,12.99
7.99,7.99
12.99,12.99
9.76,9.76
21.99,21.99
9.99,9.99
24.5,24.5
19.99,19.99
6.99,6.99
13.98,13.98
9.99,9.99
6.99,6.99
9.49,9.49
12.99,12.99
9.99,9.99
7.49,7.49
6.49,6.49
29.32,29.32
11.48,11.48
21.25,21.25
11.48,11.48
9.99,9.99
3.99,3.99
15.79,15.79
17.99,17.99
269.0,269.0
14.36,14.36
3.99,3.99
3.99,3.99
6.39,6.39
4.49,4.49
11.48,11.48
11.46,11.46
5.79,5.79
2.27,2.27
5.21,5.21
12.99,12.99
7.99,7.99
12.99,12.99
22.98,22.98
5.79,5.79
8.99,8.99
7.99,10.503
9.99,9.99
7.19,7.19
17.99,17.99
18.38,18.38
7.63,7.63
7.49,7.49
3.99,3.99
8.99,8.99
12.99,12.99
3.99,3.99
17.23,17.23
7.99,7.99
14.99,14.99
3.99,3.99
3.99,3.99
12.99,12.99
3.99,3.99
3.02,3.02
23.99,23.99
22.99,22.99
4.99,4.99
3.99,3.99
14.99,14.99
12.99,12.99
17.99,17.99
5.99,5.99
13.99,13.99
8.99,8.99
14.99,14.99
19.53,19.53
9.99,9.99
12.99,12.99
12.99,12.99
11.99,11.99
7.99,7.99
13.78,13.78
4.49,4.49
4.99,4.99
3.23,3.23
24.13,24.13
6.49,6.49
12.99,12.99
6.99,6.99
9.99,9.99
3.99,3.99
2.9,2.9
13.99,13.99
369.0,369.0
21.25,21.25
7.63,7.63
3.99,3.99
6.99,6.99
20.68,20.68
19.53,19.53
4.49,4.49
2.27,2.27
12.99,12.99
12.99,12.99
9.51,9.51
4.49,4.49
12.99,12.99
9.76,9.76
16.99,16.99
6.99,6.99
17.99,17.99
7.49,7.49
22.98,22.98
18.99,18.99
9.99,9.99
7.99,7.99
6.99,6.99
269.0,269.0
18.99,18.99
25.28,25.28
7.49,7.49
6.39,6.39
7.99,7.99
6.99,6.99
9.49,9.49
19.99,19.879
6.99,6.99
11.48,11.48
12.99,12.99
14.99,14.99
269.0,269.0
14.99,14.99
9.99,9.99
9.99,9.99
5.79,5.79
22.98,22.98
9.49,9.49
14.99,14.99
3.99,3.99
9.99,9.99
17.89,17.89
9.99,9.99
3.99,3.99
3.99,3.99
11.99,11.99
21.83,21.716
9.49,9.49
6.99,6.99
12.24,12.24
19.99,19.99
15.79,15.79
5.79,5.79
6.99,6.99
12.56,12.56
9.1,9.1
9.99,9.99
4.99,4.99
12.99,12.99
12.99,10.503
13.78,13.78
7.99,7.99
6.99,6.99
13.99,13.99
8.99,8.99
11.99,11.99
12.99,12.99
6.99,6.99
15.49,15.49
3.99,3.99
29.32,29.32
9.49,9.49
4.49,4.49
14.99,14.99
6.36,6.36
7.99,7.99
3.99,3.99
12.99,12.99
12.99,12.99
6.99,6.99
24.13,24.13
3.99,3.99
7.99,7.99
11.99,11.99
25.28,25.28
9.99,9.99
7.99,7.99
7.99,7.99
17.99,17.99
8.03,10.121
6.89,6.89
7.99,7.99
3.99,3.99
9.99,9.99
14.36,14.36
7.49,7.49
18.79,18.79
3.99,3.99
3.99,3.99
7.99,7.99
6.99,6.99
29.32,29.32
369.0,369.0
9.99,9.99
13.78,13.78
4.49,4.49
9.99,9.99
17.23,17.23
9.99,9.99
7.99,7.99
4.2,4.2
9.99,9.99
18.38,18.38
9.99,9.99
9.99,9.99
12.99,12.99
18.99,18.99
17.99,17.99
6.99,6.99
19.99,19.99
13.99,13.99
7.99,7.99
6.99,6.99
13.99,13.99
6.99,6.99
20.68,20.68
9.99,9.99
9.99,9.99
8.99,8.99
2.27,2.27
19.77,19.77
4.49,4.49
12.56,12.56
9.99,9.99
4.09,4.09
15.29,15.29
10.99,10.99
9.49,9.49
9.99,9.99
20.68,20.68
9.49,9.49
9.49,9.49
4.09,4.09
17.89,17.89
6.99,6.99
3.23,3.23
7.49,7.49
8.72,8.72
7.49,7.49
4.49,4.49
12.99,12.99
12.99,12.99
12.99,12.99
3.78,3.78
11.46,11.46
12.99,12.99
17.99,17.99
17.99,17.99
12.99,12.99
9.99,9.99
11.48,11.48
11.48,11.48
13.98,13.98
5.99,5.99
10.99,10.99
9.99,9.99
9.49,9.49
15.99,15.99
12.99,12.99
14.99,14.99
4.09,4.09
11.48,11.48
9.99,9.99
9.99,9.99
7.99,7.99
11.48,11.48
26.99,26.99
25.28,25.28
19.99,19.99
19.99,19.99
12.99,12.99
7.99,7.99
17.99,17.99
169.0,169.0
5.79,5.79
11.48,11.48
9.99,9.99
11.99,11.99
7.99,7.99
7.99,7.99
9.99,9.99
19.53,19.53
6.89,6.89
19.53,19.53
21.83,21.716
16.98,16.98
14.99,14.99
12.99,12.99
11.49,11.49
9.49,9.49
3.99,3.99
9.99,9.99
19.44,19.44
8.72,8.72
7.49,7.49
8.03,10.121
11.46,11.46
3.99,3.99
7.99,10.503
5.99,5.99
7.99,7.99
12.99,12.99
4.99,4.99
12.24,12.24
11.48,11.48
9.99,9.99
10.99,10.99
8.99,8.99
7.99,7.99
7.99,7.99
20.98,20.98
6.99,6.99
6.99,6.99
3.99,3.99
3.99,3.99
2.5,2.5
18.38,18.38
139.0,139.0
9.49,9.49
9.99,9.99
12.99,12.99
9.49,9.49
9.99,9.99
13.27,13.27
5.99,5.99
9.49,9.49
19.53,19.53
9.99,9.99
25.28,25.28
7.99,7.99
3.99,3.99
7.99,7.99
8.99,8.99
22.98,22.98
2.27,2.27
9.49,9.49
19.44,19.44
17.89,17.89
15.79,15.79
9.99,9.99
5.99,5.99
9.99,9.99
9.99,9.99
12.99,12.99
4.09,4.09
12.99,12.99
5.67,5.67
3.99,3.99
17.99,17.99
6.99,6.99
3.72,3.72
7.99,7.99
6.89,6.89
5.79,5.79
8.99,8.99
5.79,5.79
9.99,9.99
10.58,10.58
4.49,4.49
3.99,3.99
7.99,7.99
8.0,8.0
9.99,9.99
21.99,21.99
7.99,7.99
9.99,9.99
9.99,9.99
12.99,12.99
4.99,4.99
6.99,6.99
7.99,7.99
5.99,5.99
3.99,3.99
5.99,5.99
16.99,16.99
12.06,12.06
11.48,11.48
8.99,8.99
4.99,4.99
9.76,9.76
12.99,12.99
7.49,7.49
7.49,7.49
10.99,10.99
7.99,7.99
7.99,7.99
12.99,12.99
24.13,24.13
7.99,7.99
13.99,13.99
7.49,7.49
3.99,3.99
3.99,3.99
12.56,12.56
7.99,7.99
3.99,3.99
12.24,12.24
7.99,7.99
18.79,18.79
11.48,11.48
6.99,6.99
5.99,5.99
12.99,12.99
7.99,7.99
3.99,3.99
3.99,3.99
5.79,5.79
12.99,12.99
5.99,5.99
6.99,6.99
13.78,13.78
11.99,11.99
3.99,3.99
7.49,7.49
14.99,14.99
7.63,7.63
3.99,3.99
7.99,7.99
12.99,12.99
9.99,9.99
7.46,7.46
19.99,19.99
11.99,11.99
9.49,9.49
11.48,11.48
3.99,3.99
9.99,9.99
12.99,10.503
25.28,25.28
11.48,11.48
8.99,8.99
12.99,12.99
7.49,7.49
17.23,17.23
3.99,3.99
14.99,14.99
3.99,3.99
5.99,5.99
8.99,8.99
13.99,13.99
12.99,12.99
19.44,19.44
7.99,7.99
10.49,10.49
7.99,7.99
7.99,7.99
9.99,9.99
12.99,12.99
11.48,11.48
6.99,6.99
7.99,7.99
7.99,7.99
20.98,20.98
22.99,22.99
7.99,7.99
21.99,21.99
12.99,12.99
11.49,11.49
5.99,5.99
24.5,24.5
1.52,1.52
11.48,11.48
9.99,9.99
5.21,5.21
11.48,11.48
7.99,7.99
12.99,12.99
17.99,17.99
6.99,6.99
9.99,9.99
6.99,6.99
3.99,3.99
5.94,5.94
3.99,3.99
9.49,9.49
10.99,10.99
13.99,13.99
12.99,12.99
10.49,10.49
6.99,6.99
12.99,12.99
9.99,9.99
3.78,3.78
20.99,20.99
7.99,7.99
14.99,14.99
3.99,3.99
7.99,7.99
5.99,5.99
9.49,9.49
3.99,3.99
13.99,13.99
26.99,26.99
15.79,15.79
12.99,12.99
9.99,9.99
6.99,6.99
9.76,9.76
4.99,4.99
7.99,7.99
14.99,14.99
10.59,10.59
12.99,12.99
9.99,9.99
6.99,6.99
7.99,7.99
9.99,9.99
11.99,11.99
29.9,29.9
7.99,7.99
7.99,7.99
6.99,6.99
5.99,5.99
